state,stabr,tot_pop,staff_ct,staff_ct_bypop,cases_14_day_avg,cases_14_day_avg_bypop,ct_per_case
District of Columbia,DC,702455.0,418,0.0005950559110548007,45.285714285714285,6.446777983744765,9.230283911671924
Virginia,VA,8517685.0,2503,0.00029385918826535615,908.6428571428571,10.667720831926246,2.7546576527002595
Oregon,OR,4190713.0,1197,0.0002856315858423137,203.0,4.84404443826146,5.896551724137931
Massachusetts,MA,6902149.0,1873,0.00027136475900476796,344.7142857142857,4.994303740969453,5.433485288023207
Arkansas,AR,3013825.0,787,0.00026112995943692815,755.3571428571429,25.0630724364269,1.0418912529550828
Tennessee,TN,6770010.0,1630,0.00024076773889551123,1324.4285714285713,19.563170090274184,1.2307194477402654
California,CA,39557045.0,9130,0.0002308059158615109,3269.6428571428573,8.265639804851089,2.7923539049699615
Maryland,MD,6042718.0,1350,0.00022340939954503916,524.0714285714286,8.672776531544722,2.575984734905275
New Jersey,NJ,8908520.0,1873,0.00021024816692334977,399.0,4.4788584411327585,4.694235588972431
Ohio,OH,11689442.0,2411,0.00020625449871773178,920.3571428571429,7.873405273383818,2.6196352347691114
Hawaii,HI,1420491.0,288,0.00020274679670620932,111.28571428571429,7.834313225899656,2.58793324775353
Nebraska,NE,1929268.0,388,0.0002011125463129021,347.7142857142857,18.023119945714424,1.1158586688578471
Nevada,NV,3034392.0,600,0.0001977331867471309,288.57142857142856,9.510024695933438,2.0792079207920793
West Virginia,WV,1805832.0,350,0.00019381647905231494,184.28571428571428,10.205030937856582,1.8992248062015504
Rhode Island,RI,1057315.0,200,0.00018915838704643365,97.71428571428571,9.24173833855433,2.046783625730994
Montana,MT,1062305.0,200,0.00018826984717195156,159.42857142857142,15.007796388849851,1.2544802867383513
Minnesota,MN,5611179.0,1000,0.00017821566554907623,682.4285714285714,12.161946204684817,1.4653548252041029
Delaware,DE,967171.0,171,0.00017680430864862572,103.78571428571429,10.73085465607574,1.64762560220234
Idaho,ID,1754208.0,300,0.0001710173479997811,289.07142857142856,16.47874303226462,1.0378057820607858
Illinois,IL,12741080.0,1943,0.00015249884625165213,1702.857142857143,13.365092620540354,1.141023489932886
Georgia,GA,10519475.0,1600,0.00015209884523704844,1499.5714285714287,14.255192664761585,1.0669715156711441
New Mexico,NM,2095428.0,300,0.0001431688418786043,108.71428571428571,5.18816612712466,2.759526938239159
Colorado,CO,5695564.0,802,0.0001408113401938772,438.7142857142857,7.702736475514729,1.82806903288831
North Carolina,NC,10383620.0,1311,0.00012625654636822225,1197.2857142857142,11.530523211420624,1.094976733086744
Texas,TX,28701845.0,3533,0.0001230931321662423,5275.928571428572,18.381844691268356,0.669645153865941
South Carolina,SC,5084127.0,586,0.00011526069274036624,1041.142857142857,20.478301528322504,0.5628430296377607
New York,NY,19542209.0,2000,0.00010234257549901344,719.5,3.6817741535770088,2.779708130646282
Pennsylvania,PA,12807060.0,1303,0.00010174075861282761,746.2857142857143,5.827143109235956,1.745980091883614
Oklahoma,OK,3943079.0,400,0.00010144356732391109,938.7857142857143,23.808442952467203,0.4260823251921175
Mississippi,MS,2986530.0,300,0.00010045102510271117,444.0,14.866751715201254,0.6756756756756757
Michigan,MI,9995915.0,1000,0.00010004086669404452,748.9285714285714,7.492346337764691,1.3352408202193609
Maine,ME,1338404.0,110,8.218744116126372e-05,30.928571428571427,2.31085467680696,3.556581986143187
Alabama,AL,4887871.0,400,8.183522028302302e-05,869.0714285714286,17.78016294970609,0.4602613627023917
New Hampshire,NH,1356458.0,110,8.109355394711816e-05,35.42857142857143,2.6118443349201694,3.104838709677419
Vermont,VT,626299.0,44,7.025398411940623e-05,4.642857142857143,0.7413163908703579,9.476923076923077
Utah,UT,3161105.0,163,5.156424731225315e-05,669.3571428571429,21.174783591723237,0.24351723401984846
Kansas,KS,2911510.0,100,3.434643878949411e-05,630.2857142857143,21.64806970560686,0.15865820489573887
Wisconsin,WI,5813568.0,175,3.010199588273501e-05,1488.2857142857142,25.600211682149656,0.11758494912651181
Washington,WA,7535591.0,135,1.791498503567935e-05,370.2857142857143,4.913824466929194,0.3645833333333333
Iowa,IA,3156145.0,50,1.5842111183104707e-05,715.9285714285714,22.683640055465492,0.0698393694502644
